"LATITUDE","LONGITUDE","STATION","STRATUM","YEAR","DATETIME","BOT_DEPTH","BOT_TEMP","SURF_TEMP","VESSEL","CRUISE","HAUL","AREA_SWEPT_HA","DURATION_HR","DISTANCE_FISHED_KM"
58.0275,-162.7485,"J-09",10,1982,"15-JUN-1982 12:00PM",38,1.7,2.7,19,106,4224,4.6524,0.5,3
57.985,-162.13,"J-10",10,1982,"09-JUN-1982 12:00PM",40,1.5,2.1,1,80,880,4.1579,0.5,2.537
57.97917,-161.47933,"J-11",10,1982,"14-JUN-1982 07:00PM",48,1.8,3.6,19,106,4220,4.5376,0.5,2.926
58.00167,-160.85333,"J-12",10,1982,"06-JUN-1982 05:00PM",46,1.9,3.7,1,80,868,4.5358,0.5,2.759
57.986,-160.20333,"J-13",10,1982,"01-JUN-1982 08:00PM",49,1.2,1.1,19,106,4212,5.3269,0.5,3.315
57.99667,-159.605,"J-14",10,1982,"06-JUN-1982 06:00AM",44,0,0.9,1,80,865,4.2629,0.5,2.593
58.00667,-158.92433,"J-15",10,1982,"31-MAY-1982 08:00AM",40,-0.2,-0.9,19,106,4203,3.4516,0.5,2.148
58.015,-158.31667,"J-16",10,1982,"29-MAY-1982 07:00AM",37,0.5,2.3,1,80,857,4.2819,0.5,2.667
58.00633,-168.44367,"J-18",42,1982,"26-JUN-1982 07:00AM",73,2.2,5,1,80,928,4.329,0.5,2.593
58.008,-169.0495,"J-19",42,1982,"04-JUL-1982 08:00AM",70,2,6.5,19,106,4300,4.4063,0.5,2.852
58.00233,-169.69783,"J-20",42,1982,"04-JUL-1982 06:00AM",73,2.4,5,1,80,968,4.6771,0.5,2.797
58.0245,-170.32933,"J-21",42,1982,"06-JUL-1982 05:00PM",73,1.8,5.5,19,106,4315,4.1285,0.5,2.667
58.01267,-170.97133,"J-22",42,1982,"07-JUL-1982 07:00PM",91,3.4,6.9,1,80,983,4.6113,0.5,2.722
57.97783,-171.59183,"J-23",41,1982,"09-JUL-1982 05:00PM",97,3.2,7,19,106,4328,5.3199,0.5,3.185
58.0025,-172.23283,"J-24",61,1982,"09-JUL-1982 07:00PM",108,3,6.6,1,80,995,5.0924,0.5,2.982
58.01,-172.89683,"J-25",61,1982,"19-JUL-1982 10:00AM",108,3.5,7.5,19,106,4350,4.1956,0.5,2.482
57.97467,-173.4825,"J-26",61,1982,"19-JUL-1982 08:00AM",117,3.5,7.5,19,106,4349,4.5806,0.5,2.685
57.83583,-168.68383,"JI1918",42,1982,"30-JUN-1982 06:00AM",73,2.3,6,1,80,946,4.3661,0.5,2.611
57.81817,-169.30317,"JI2019",42,1982,"03-JUL-1982 07:00PM",64,3.3,6.2,19,106,4299,4.773,0.5,3
57.83583,-169.9935,"JI2120",42,1982,"03-JUL-1982 07:00PM",75,1.3,5.8,1,80,967,4.3042,0.5,2.574
57.8525,-170.58583,"JI2221",42,1982,"07-JUL-1982 07:00AM",77,3.6,7,19,106,4316,4.7579,0.5,3.019
58.35417,-167.83567,"K-01",41,1982,"30-JUN-1982 12:00PM",59,1.7,5.6,19,106,4282,4.1362,0.5,2.574
58.35133,-167.19083,"K-02",20,1982,"28-JUN-1982 03:00PM",53,3,4.5,1,80,940,4.5358,0.5,2.759
58.326,-166.56433,"K-03",10,1982,"28-JUN-1982 08:00AM",48,3.3,4.2,19,106,4271,4.4641,0.5,2.722
58.345,-165.91667,"K-04",10,1982,"16-JUN-1982 06:00PM",46,1.2,4.4,1,80,912,4.6591,0.5,2.834
58.349,-165.28883,"K-05",10,1982,"19-JUN-1982 03:00PM",44,1.3,6.3,19,106,4250,3.9344,0.5,2.537
58.31833,-164.63,"K-06",10,1982,"14-JUN-1982 02:00PM",46,1.1,3.5,1,80,904,4.5529,0.5,2.778
58.33267,-163.99517,"K-07",10,1982,"18-JUN-1982 03:00PM",40,2,4.5,19,106,4243,4.7672,0.5,3.074
58.34333,-163.385,"K-08",10,1982,"10-JUN-1982 01:00PM",37,1.1,2,1,80,884,4.4601,0.5,2.778
58.3545,-162.71867,"K-09",10,1982,"15-JUN-1982 10:00AM",29,2.1,2.1,19,106,4223,3.778,0.5,2.593
58.31167,-162.065,"K-10",10,1982,"09-JUN-1982 03:00PM",49,1.5,2.3,1,80,881,4.1284,0.5,2.519
58.2665,-161.402,"K-11",10,1982,"14-JUN-1982 10:00PM",38,4.8,5.2,19,106,4221,4.0475,0.5,2.778
58.33333,-160.72167,"K-12",10,1982,"06-JUN-1982 02:00PM",20,4.1,4.4,1,80,867,4.182,0.5,2.704
58.32167,-159.54,"K-14",10,1982,"06-JUN-1982 09:00AM",26,0.8,1.1,1,80,866,4.2098,0.5,2.722
58.3255,-168.46967,"K-18",41,1982,"26-JUN-1982 10:00AM",64,1.3,4.8,1,80,929,4.6379,0.5,2.778
58.31383,-169.11733,"K-19",41,1982,"04-JUL-1982 10:00AM",68,2,6.9,19,106,4301,4.5765,0.5,2.945
58.32433,-169.72683,"K-20",41,1982,"04-JUL-1982 08:00AM",71,0.8,5.6,1,80,969,4.5243,0.5,2.704
58.35783,-170.38483,"K-21",41,1982,"06-JUL-1982 03:00PM",73,0.8,7.7,19,106,4314,4.4787,0.5,2.815
